quantity,item_value,description,ocid
70.0,4.0992,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20220002230489-16616
80000.0,0.02,Levotiroxina sódica,ocds-5wno2w-CE-20220002230174-792270
3.0,16.4976,"SET DE MOPA (MANGO, BASE, MOPA) DE 46 CM",ocds-5wno2w-CE-20220002230054-96969
7.0,0.51968,MARCADOR PARA CD,ocds-5wno2w-CE-20220002230210-2438
35.0,0.682528,GRAPAS 26/6 CAJA DE 5000 U,ocds-5wno2w-CE-20220002230220-2438
500.0,5.0,Salbutamol,ocds-5wno2w-CE-20220002230356-8380
31.0,19.98,CANASTA DE PRODUCTOS ALIMENTICIOS-FRUTAS FRESCAS,ocds-5wno2w-CE-20220002230321-1064686
50.0,46.58,CANASTA DE PRODUCTOS CARNICOS Y HUEVOS,ocds-5wno2w-CE-20220002230321-1064686
44.0,16.43,"OTROS ALMIDONES: ALMIDON DE ARROZ, DE ARRURRUZ, DE PALMA DE SAGU, DE GRANOS DE OTROS CEREALES",ocds-5wno2w-CE-20220002230321-1064686
35.0,17.85,CANASTA DE PRODUCTOS ALIMENTICIOS-LEGUMBRES-VERDURAS-HORTALIZAS FRESCAS,ocds-5wno2w-CE-20220002230321-1064686
10.0,263.0544,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20220002230361-91040
1459.0,5.699,Risperidona,ocds-5wno2w-CE-20220002230296-67972
20433.0,0.4592,ADOQUINES EXAGONALES DE CONCRETO  350 KG/CM2 DE RESISITENCIA,ocds-5wno2w-CE-20220002230320-95614
7.0,9.912,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20220002230391-63467
4200.0,0.05,Ferroso sulfato,ocds-5wno2w-CE-20220002230295-67972
15.0,3.808,AMBIENTAL VARIAS FRAGANCIAS LIQUIDO GALON,ocds-5wno2w-CE-20220002230053-96969
3.0,1.512,TABLA PARA APUNTES (APOYAMANOS) PLASTICO,ocds-5wno2w-CE-20220002230213-2438
120.0,0.2408,CD S GRABABLES SIN CAJA CD-R,ocds-5wno2w-CE-20220002230221-2438
107250.0,0.03671,Quetiapina,ocds-5wno2w-CE-20220002230496-748941
35.0,19.98,CANASTA DE PRODUCTOS ALIMENTICIOS-FRUTAS FRESCAS,ocds-5wno2w-CE-20220002230322-1068653
40.0,46.58,CANASTA DE PRODUCTOS CARNICOS Y HUEVOS,ocds-5wno2w-CE-20220002230322-1068653
1.0,50.44,CANASTA DE PRODUCTOS CARNICOS Y HUEVOS,ocds-5wno2w-CE-20220002230322-1068653
36.0,16.43,"OTROS ALMIDONES: ALMIDON DE ARROZ, DE ARRURRUZ, DE PALMA DE SAGU, DE GRANOS DE OTROS CEREALES",ocds-5wno2w-CE-20220002230322-1068653
33.0,17.85,CANASTA DE PRODUCTOS ALIMENTICIOS-LEGUMBRES-VERDURAS-HORTALIZAS FRESCAS,ocds-5wno2w-CE-20220002230322-1068653
61308.0,1.4448,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20220002230417-2503
173.0,23.1504,LENCERIA HOSPITALARIA,ocds-5wno2w-CE-20220002230438-93666
43.0,0.0504,SOBRE MANILA F2,ocds-5wno2w-CE-20220002230209-2438
38.0,9.912,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20220002230177-275027
38.0,21.056,UNIFORME DE OFICINA,ocds-5wno2w-CE-20220002230177-275027
80.0,2.52,SERVICIIO DE REFRIGERIO PARA ENVENTOS DE CAPACITACION,ocds-5wno2w-CE-20220002230416-103464
1200.0,0.02,Levotiroxina sódica,ocds-5wno2w-CE-20220002230350-128799
4.0,101.7856,MUEBLES DE ESCUELA,ocds-5wno2w-CE-20220002230422-118394
40.0,1.1312,FUNDA DE BASURA DOMESTICA NEGRA 23X28 pulgadas,ocds-5wno2w-CE-20220002230055-96969
25.0,0.4928,MARCADOR PERMANENTE NEGRO PUNTA REDONDA,ocds-5wno2w-CE-20220002230212-2438
10.0,1.027824,GOMA EN BARRA DE 40 GR,ocds-5wno2w-CE-20220002230208-2438
280.0,92.61,Sunitinib,ocds-5wno2w-CE-20220002230307-20291
2.0,3.8864,TRAPEADOR DE PLANO  DE 30 - 40 CM,ocds-5wno2w-CE-20220002230340-774669
6.0,281.008,NEUMATICO 215/75 R 17.5 126/124 TRACCION APLICACION REGIONAL,ocds-5wno2w-CE-20220002230281-3233
27.0,53.8496,MUEBLES DE ESCUELA,ocds-5wno2w-CE-20220002230449-537767
400.0,1.1144,FUNDA DE BASURA DOMESTICA NEGRA 23X28 pulgadas,ocds-5wno2w-CE-20220002230243-543076
10.0,2.9456,TRAPEADOR REDONDO DE 24-30 CM,ocds-5wno2w-CE-20220002230057-96969
4.0,129.4608,ALECENAS PARA LOZA,ocds-5wno2w-CE-20220002230246-39596
75000.0,0.03,Levotiroxina sódica,ocds-5wno2w-CE-20220002230175-792270
9600.0,2.4864,Amoxicilina,ocds-5wno2w-CE-20220002230329-44856
1.0,836.6,CONTRATACIÓN DE ESPACIOS PUBLICITARIOS PARA LOS ANUNCIOS DE RADIO Y TELEVISIÓN DEL CLIENTE EN LAS EMISORAS Y CANALES ELEGIDOS O SUGERIDOS POR LA AGENCIA,ocds-5wno2w-RE-CSGADMCSB-06-2022-28501
110.0,0.5152,CARPETAS PLASTICAS UN LADO TRANSPARENTE,ocds-5wno2w-CE-20220002230038-533718
2500.0,1.05,Salbutamol,ocds-5wno2w-CE-20220002230071-792270
55.0,0.7728,CINTA DE EMPAQUE 48X80 YDAS COLOR TRANSPARENTE,ocds-5wno2w-CE-20220002230206-2438
250.0,1.1648,PAPEL TOALLA DE MANOS BLANCO EN Z 150 UNIDADES,ocds-5wno2w-CE-20220002230339-774669
4.0,1.848,LAPIZ HB CON GOMA CAJA 12 UNIDADES,ocds-5wno2w-CE-20220002230204-2438
210.0,150.024,MUEBLES DE ESCUELA,ocds-5wno2w-CE-20220002230316-369703
21.0,151.1888,ALECENAS PARA LOZA,ocds-5wno2w-CE-20220002230315-369703
4.0,585.6256,NEUMATICO 11 R 22.5 148/145 TODA POSICION APLICACION SERVICIO SEVERO (DESTAPADO/ASFALTO) Construccion,ocds-5wno2w-CE-20220002230282-3233
8.0,600.264,NEUMATICO 11 R 22.5 148/145 TRACCION APLICACION SERVICIO SEVERO,ocds-5wno2w-CE-20220002230290-3233
26400.0,5.1184,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20220002230444-238940
40.0,167.496,NEUMATICO 245/75R16 111S TODA POSICION APLICACION REGIONAL,ocds-5wno2w-CE-20220002230291-3233
11.0,6.5818,Lidocaína,ocds-5wno2w-CE-20220002230494-2808
15.0,336.0,ESCRITORIO RECTO MINKA III 1500MM X 600MM,ocds-5wno2w-CE-20220002230247-365398
4.0,1.7024,LAPIZ HB SIN GOMA CAJA DE 12 UNIDADES,ocds-5wno2w-CE-20220002229979-15065
4780.0,0.67,Ácido tranexámico,ocds-5wno2w-CE-20220002230493-2808
15.0,392.0,ESCRITORIO RECTO MINKA III 1500MM X 600MM,ocds-5wno2w-CE-20220002230248-365398
500.0,0.06608,SOBRE MANILA F4,ocds-5wno2w-CE-20220002230205-2438
15.0,448.0,ESCRITORIO RECTO MINKA III 1500MM X 600MM,ocds-5wno2w-CE-20220002230249-365398
12.0,3.0688,"HIPOCLORITO DE SODIO AL 5 POR CIENTO, GALON",ocds-5wno2w-CE-20220002230338-774669
6.0,4.48,DESINFECTANTE AMONIO CUATERNARIO GALON,ocds-5wno2w-CE-20220002230334-774669
60.0,1.3104,PAPEL TOALLA DE MANOS BLANCO EN Z 150 UNIDADES,ocds-5wno2w-CE-20220002230059-96969
3.0,263.0544,SERVICIOS DE CONFECCION DE UNIFORMES,ocds-5wno2w-CE-20220002230453-113564
90.0,0.28,Sales de rehidratación oral: •Glucosa •Cloruro de sodio •Cloruro de potasio •Citrato trisódico dihidrato,ocds-5wno2w-CE-20220002230299-67972
10.0,3.8192,AMBIENTAL VARIAS FRAGANCIAS LIQUIDO GALON,ocds-5wno2w-CE-20220002230335-774669
8.0,4.424,MEDIA NORMAL PARA UNIFORMES DEPORTIVOS,ocds-5wno2w-CE-20220002230223-93160
6.0,5.6,PERFORADORA DE ESCRITORIO GRANDE,ocds-5wno2w-CE-20220002230233-104249
50.0,150.024,MUEBLES DE ESCUELA,ocds-5wno2w-CE-20220002230093-365398
93012.0,1.4448,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20220002230278-238940
18.0,1.4896,GUANTES DE CAUCHO NO 8 Y MEDIO BICOLOR,ocds-5wno2w-CE-20220002230005-8098
10.0,102.1328,CONTENEDOR CUADRADO COLOR NEGRO CON RUEDAS DE 240 LITROS,ocds-5wno2w-CE-20220002230384-2578
317.0,0.08848,SOBRE MANILA F6,ocds-5wno2w-CE-20220002230219-2438
2.0,18.76,LENCERIA HOSPITALARIA,ocds-5wno2w-CE-20220002230176-275027
19.0,22.064,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20220002230176-275027
1.0,17500.0,ASESORIA Y CAPACITACION EN SISTEMAS DE SEGURIDAD CIUDADANA Y EN ANTI TERRORISMO,ocds-5wno2w-CDC-AAG-011-2022-27611
1.0,15000.0,SERVICIOS DE EXAMEN DE REGISTROS CONTABLES Y OTROS DOCUMENTOS COMPLEMENTARIOS DE UNA ORGANIZACION A FIN DE PODER OPINAR SI LAS CUENTAS FINANCIERAS DE LA ORGANIZACION EXPONEN CON IMPARCIALIDAD LA POSICION DE LA ORGANIZACION EN UNA FECHA DETERMINADA Y LOS R,ocds-5wno2w-CDC-AAG-006-2022-27611
1.0,55000.0,FISCALIZACION DE OBRAS DE INGENIERIA CIVIL,ocds-5wno2w-CDC-EPMC-001-2022-702182
1.0,31326.0,FISCALIZACION DE OBRAS DE INGENIERIA CIVIL,ocds-5wno2w-CDC-GADMCS-16-2022-57127
1.0,4780.0,SERVICIOS DE CONSULTORIA GEOTECNICOS,ocds-5wno2w-CDC-GADMTZ-2022-003-73164
1.0,20000.0,FISCALIZACION DE OBRAS Y SERVICIOS,ocds-5wno2w-CDC-GADPRA-02-2022-119393
1.0,1339.29,SERVCIOS DE CAPACITACION EN  TEMAS ADMINISTRATIVOS,ocds-5wno2w-CDC-GADPRSAB-001-22-126127
1.0,706340.6127,SERVICOS GENERALES  DE CONSTRUCCION DE CONDUCCIONES DE TENDIDOS DE ELECTRICIDAD (CABLES) DE LARGA DISTANCIA ,ocds-5wno2w-COTO-EERSSA-002-2022-3240
1.0,719525.4085,SERVICIOS DE TENDIDO DE CABLES ELECTRICOS ,ocds-5wno2w-COTO-EEASA-036-2022-3233
1.0,619237.808,"SERVICIOS GENERALES DE CONSTRUCCION  EN CARRETERAS (EXCEPTO CARRETERAS SOBREELEVADAS), CALLES",ocds-5wno2w-COTO-GADMM-02-022-28990
1.0,807883.5333,OTRAS OBRAS DE INGENIERIA CIVIL,ocds-5wno2w-COTO-GAD-I-006-2022-2783
1.0,82470.0,"SERVICIOS DE TRANSPORTE AEREO  DE PASAJEROS POR LINEAS AEREAS DE SERVICIO  EN HORARIOS REGULAR, INCLUSO LOS HELICOPTEROS DE CUALQUIER TIPO",ocds-5wno2w-COTS-INEC-002-2022-2505
1.0,139361.9,FISCALIZACION DE OBRAS DE INGENIERIA CIVIL,ocds-5wno2w-LCC-EPUNEMI-01-2022-474763
1.0,80800.75,SERVICIOS DE CONSULTORIA DEL MEDIO AMBIENTE,ocds-5wno2w-LCC-GADC-005-2022UE-2616
1.0,158136.71,FISCALIZACION DE OBRAS DE INGENIERIA CIVIL,ocds-5wno2w-LCC-MIMG-034-2022-44856
1.0,333580.42,CONSULTORIA EN GESTION POR PROCESOS,ocds-5wno2w-LCC-GADPEO-01-2022-17250
1.0,162880.0,SERVICIOS DE DISENO DE INGENIERIA PARA CARRETERAS,ocds-5wno2w-LCC-GADPS-002-2022-3277
1.0,4267.15,SEGURO MULTIRIESGO,ocds-5wno2w-LICS-CZ3-HBA-001-202-121258
1.0,520000.0,VENTA DE BILLETES DE VIAJE,ocds-5wno2w-LICS-COE-001-2022.-86318
1.0,27650.0,ALQUILER DE EQUIPO CAMINERO,ocds-5wno2w-MCBS-GADMSV-02-2022-54500
1.0,59585.5,READECAUCION DE EDIFICACIONES ESCOLARES,ocds-5wno2w-MCO-DD14D01-010-2022-537675
1.0,106536.7582,CONSTRUCCION DE REDES URBANAS DE ALCANTARILLADO,ocds-5wno2w-MCO-EPEMAPAA-003-22-545597
1.0,160754.83,CONSTRUCCION  DE CUBIERTAS DE ESTRUCTURA METALICA Y POLICARBONATO,ocds-5wno2w-MCO-GADMCY-005-2022-35918
1.0,90948.18,"SERVICIOS DE CONSTRUCCION (INCLUIDAS LAS OBRAS NUEVAS, AMPLIACIONES, REFORMAS Y RENOVACION) EN EDIFICIOS RESIDENCIALES DE UNO O DOS VIVIENDAS.",ocds-5wno2w-MCO-GADMLA-001-2022-91040
1.0,13400.0,SERVICIOS GENERALES DE CONSTRUCCION DE OBRAS NUEVAS,ocds-5wno2w-MCO-GADM-E-009-2022-49384
1.0,99985.35,CONSTRUCCION Y MONTAJE DE PLATAFORMAS Y ESTRUCTURAS METALICAS,ocds-5wno2w-MCO-GADMLA-002-2022-91040
1.0,79998.85,SERVICIOS GENERALES DE CONSTRUCCION  PARA ESPARCIMIENTO:   PARQUES ,ocds-5wno2w-MCO-GADMLA-009-2022-91040
1.0,166596.59,CONSTRUCCION DE REDES URBANAS DE ALCANTARILLADO,ocds-5wno2w-MCO-GADMSL-003-2022-86907
1.0,13899.2,"OTROS SERVICIOS DE INSTALACION ELECTRICA: ALUMBRADO Y SENALIZACION ELECTRICA EN CARRETERAS Y LOS TRABAJOS DE INSTALACION DE EQUIPOS DE SONIDOS, CALEFACCION ELECTRICA, EQUIPO DE TELECOMUNICACIONES,ETC.",ocds-5wno2w-MCO-GADPCHA_01_2022-120027
1.0,44781.08,OTRAS OBRAS DE INGENIERIA CIVIL,ocds-5wno2w-MCO-GADPRDCT-001-22-97167
1.0,43600.0,"SERVICIOS EN QUE SE ACTUA COMO FIDEICOMISARIO DE VALORES (SERVICIOS ADMINISTRATIVOS RELACIONADOS CON LA EMISION Y REGISTRO DE VALORES, Y PAGO DE INTERESES Y DIVIDENDOS)",ocds-5wno2w-R2-CDC-FTTG-001-2022-25399
1.0,,CAMIONETA DOBLE CABINA 4X4,ocds-5wno2w-R1SIE-CBCC-001-2022-155946
164.0,,SERVICIOS DE SUMINISTROS DE UNA CONEXION DIRECTA A INTERNET,ocds-5wno2w-RE-CZ-5-MIES-2022-01-22632
8.0,,SERVICIOS RELACIONADOS CON LA SOLICITUD DE ESPACIO O TIEMPO PARA AVISOS DE PUBLICIDAD EN PERIÓDICOS,ocds-5wno2w-RE-GADMAT-15-2022-39194
1.0,5844.0,OTROS SERVICIOS DE IMPRENTA N.C.P.,ocds-5wno2w-RE-GADMSFP-03-2022-31732
1.0,24000.0,SERVICIOS DE PROMOCION Y ORGANIZACION PARA REPRESENTACIONES ARTISTICAS LUZ Y SONIDO,ocds-5wno2w-RE-GADPRMS-01-2022-231939
1.0,188392.0,SERVICIOS DE REDES AVANZADAS ACADEMICAS INVESTIGACION Y DESARROLLO POR INTERNET,ocds-5wno2w-RE-INOCAR-006-2022-1006003
1.0,138100.0,PIEZAS DE REPUESTO PARA APARATOS Y EQUIPOS ELECTRICOS,ocds-5wno2w-RE-HGL-005-2022-17082
1.0,32300.0,SERVICIOS DE PROMOCION Y ORGANIZACION PARA REPRESENTACIONES ARTISTICAS LUZ Y SONIDO,ocds-5wno2w-RE-OACL-GADCH-02-22-136206
1.0,60000.0,SERVICIOS DE PRODUCCION DE EVENTOS,ocds-5wno2w-RE-OACL-GADMA-004-22-2161
1.0,6000.0,SERVICIOS DE GESTION DE DERECHOS ADSCRITOS A OBRAS ARTISTICAS EXCEPTO OBRAS CINEMATOGRAFICAS Y AUDIOVISUALES,ocds-5wno2w-RE-OACL-GADMA-003-20-2161
1.0,16797.4,PRESTACION DE ASISTENCIA PARA MANTENER LOS SISTEMAS (PROGRAMAS) INFORMATICOS EN BUEN ESTADO DE FUNCIONAMIENTO. EL MANTENIMIENTO PUEDE SER CORRECTIVO O PREVENTIVO E INCLUIR SERVICIOS COMO EL MEJORAMIENTO DE LOS PROGRAMAS EXISTENTES,ocds-5wno2w-RE-PU-EMASEOEP1-2022-276265
9.0,11114.89,SECCIONADO PARA VOLTAJE SUPERIOR A 15 KV,ocds-5wno2w-RE-PU-CNELGY-04-2022-462114
1.0,141171.9,SERVICIOS DE MANTENIMIENTO Y REPARACION DE ASCENSORES,ocds-5wno2w-RE-PU-HGSQ-005-2022-868544
1.0,466920.8,OTROS ACCESORIOS,ocds-5wno2w-RE-RA-GPM-004-2022-2609
1.0,21469.82,SERVICIOS DE MANTENIMIENTO Y REPARACION DE ASCENSORES,ocds-5wno2w-RE-UNEMI-255-2022-43664
3400.0,,SISTEMA PARA ELECTROLITOS,ocds-5wno2w-SIE-01D03-012-2022-130055
1.0,,PUNTO DE SERVICIO INSTITUCIONAL  DE 24 HORAS PERMANENTE CON ARMA NO LETAL,ocds-5wno2w-SIE-13D10-2022-002-532694
1.0,,REACTIVOS PARA ANALISIS CELULAR,ocds-5wno2w-SIE-12D03QM-002-2022-560052
1.0,,TONER ,ocds-5wno2w-SIE-CJ-DNA-013-2022-48787
1.0,,"SERVICIOS DE MANTENIMIENTO, REPARACION Y ATENCION DEL EQUIPO DE  COMPUTACION  (INFORMATICA)",ocds-5wno2w-SIE-CNELGYE-005-2022-462114
1.0,,INSTALACION Y MANTENIMIENTO DE MEDIDORES,ocds-5wno2w-SIE-CNELESM-04-2022-462114
200.0,,AUDIFONO DE TIPO RETROAURICULAR PARA PERDIDAS AUDITIVAS SEVERAS ADULTOS/ NIÑOS Y NIÑAS,ocds-5wno2w-SIE-CMFIEDM-010-2022-748941
1.0,,"SERVICIOS DE MANTENIMIENTO Y REPARACION DE VEHICULOS DE MOTOR. ESTOS SERVICIOS PUEDEN INCLUIR LA REVISION DEL MOTOR, LA PUESTA A PUNTO DEL MOTOR, EL AJUSTE Y LA REPARACION DEL CARBURADOR, EL AJUSTE Y LA REPARACION DE LOS ELEMENTOS DE LA DIRECCION, LA REPA",ocds-5wno2w-SIE-D09D04-012-2022-161795
1.0,,"Losartán, Sólido oral, 100 mg, Caja x blíster/ristra",ocds-5wno2w-SIE-DD09D04-005-2022-161795
1.0,,"Fluoxetina, Sólido oral, 20 mg, Caja x blíster/ristra",ocds-5wno2w-SIE-DD09D04-007-2022-161795
35000.0,,CABLE DE ACERO GALVANIZADO GRADO SIEMENS MARTIN 7 HILOS 952 MM (3/8 PULG.) 3155 KGF,ocds-5wno2w-SIE-EERSA-DIC-05-22-3219
1.0,,SERVICIOS DE ALQUILER DE EQUIPO  CON O SIN OPCION DE COMPRA  DE EQUIPOS PARA LA CONSTRUCCION  O DEMOLICION DE EDIFICIOS PARA TRABAJOS DE INGENIERIA CIVIL  CON OPERARIOS Y SERVICIOS OPERATIVOS PROPORCIONADOS POR LOS MISMOS,ocds-5wno2w-SIE-EMAPASG-02-2022-314601
1.0,,PLANTAS DE TRATAMIENTO DE AGUA ,ocds-5wno2w-SIE-EPAAMEJ-12-2022-384004
1.0,,TUBOS DE PVC,ocds-5wno2w-SIE-EPAAMEJ-13-2022-384004
1.0,,SERVICIOS DE TELECOMUNICACIONES VARIOS,ocds-5wno2w-SIE-EPMAPS-033-2022-258814
1.0,,QUIMICOS REDUCTORES DE FRICCION,ocds-5wno2w-SIE-EPP-024-2022-253178
1.0,,CAJAS DE HERRAMIENTAS,ocds-5wno2w-SIE-EPP-059-2022-253178
1.0,,GUANTE ESPECIAL EN  NYLON,ocds-5wno2w-SIE-ESANGU-2022-011-81606
1.0,,AUTOCLAVE,ocds-5wno2w-SIE-GAD-I-012-2022-2783
3.0,,PERFIL ESTRUCTURAL CORREA G 250 ALTO X 50 ANCHO X 15 PESTAÑA X 3 ESPESOR MM,ocds-5wno2w-SIE-GADIPMC-26-2022-2472
210.0,,PINTURA,ocds-5wno2w-SIE-GADMA-012-2022-2161
17.0,,"MAQUINAS ANALOGICAS O HIBRIDAS (ANALOGICAMENTE DIGITALES) DE PROCESAMIENTO  DE  DATOS:  COMPUTADORAS  ANALOGICAS, COMPUTADORAS MIXTAS,  MAQUINAS  DE  ELABORACION  DE  DATOS AUTOMATICAS  Y MIXTAS,  ETC.",ocds-5wno2w-SIE-GADIPMC-27-2022-2472
1.0,,"SERVICIOS DE MANTENIMIENTO Y REPARACION DE VEHICULOS DE MOTOR. ESTOS SERVICIOS PUEDEN INCLUIR LA REVISION DEL MOTOR, LA PUESTA A PUNTO DEL MOTOR, EL AJUSTE Y LA REPARACION DEL CARBURADOR, EL AJUSTE Y LA REPARACION DE LOS ELEMENTOS DE LA DIRECCION, LA REPA",ocds-5wno2w-SIE-GADMCLN-003-2022-83935
1.0,,EQUIPOS CAMINEROS,ocds-5wno2w-SIE-GADMCN-005-2022-48779
192.0,,COMPUTADORES PORTATILES,ocds-5wno2w-SIE-GADMCN-008-2022-48779
1.0,,ALQUILER DE EQUIPO CAMINERO,ocds-5wno2w-SIE-GADMIET-003-2022-64662
1.0,,OTROS ACCESORIOS,ocds-5wno2w-SIE-GADML-014-2022-3268
4.0,,"MAQUINAS ANALOGICAS O HIBRIDAS (ANALOGICAMENTE DIGITALES) DE PROCESAMIENTO  DE  DATOS:  COMPUTADORAS  ANALOGICAS, COMPUTADORAS MIXTAS,  MAQUINAS  DE  ELABORACION  DE  DATOS AUTOMATICAS  Y MIXTAS,  ETC.",ocds-5wno2w-SIE-GADML-009-2022-3268
1.0,,ACEITE LUBRICANTE PARA MOTORES A DIESEL,ocds-5wno2w-SIE-GADMG-005-2022-2425
1.0,,SERVICIOS ESPECIALIZADOS DE VENTA AL POR MENOR DE FLORES Y PLANTAS EN TIENDAS ESPECIALIZADAS,ocds-5wno2w-SIE-GADMLT-009-2022-2670
1.0,,SERVICIOS DE PRODUCCION DE EVENTOS,ocds-5wno2w-SIE-GADMP-3-2022-39091
250.0,,CASCO INDUSTRIAL DE PROTECCION,ocds-5wno2w-SIE-GADMS-03-2022-2548
1.0,,TONER ,ocds-5wno2w-SIE-GADMT-OO9-2022-2586
1.0,,CAMAS,ocds-5wno2w-SIE-GPM-008-2022-2609
1.0,,SEMILLA DE RYGRASS BASTION TETRAPLOIDE,ocds-5wno2w-SIE-HGADPCH-021-2022-2583
48000.0,,"Amlodipina, Sólido oral, 10 mg, Caja x blíster/ristra",ocds-5wno2w-SIE-HGL-050-2022-17082
1.0,,"SERVICIOS COMERCIALES AL POR MAYOR PRESTADOS A COMISION O POR CONTRATO, DE PRODUCTOS COMESTIBLES N.C.P.",ocds-5wno2w-SIE-HGL-028-2022-17082
1.0,,SERVICIOS DE MANTENIMIENTO Y REPARACION DE EQUIPO DE MEDICINA,ocds-5wno2w-SIE-HGJ-011-2022-105641
1.0,,PIEZAS DE REPUESTO PARA APARATOS Y EQUIPOS ELECTRICOS,ocds-5wno2w-SIE-HGMVI-021-2022-18615
1.0,,INSUMOS PARA ENDOPRÓTESIS Y AFINES,ocds-5wno2w-SIE-HGMVI-023-2022-18615
1.0,,"ACCESORIOS, REPUESTOS, PARTES Y PIEZAS DE MATERIALES ELECTRONICOS",ocds-5wno2w-SIE-HGMVI-026-2022-18615
9000.0,,CLORURO DE POTASICO,ocds-5wno2w-SIE-HGNDC-0027-2022-2703
1.0,,GUANTE DE TRABAJO EN  NITRILO,ocds-5wno2w-SIE-HHCC-034-2022-8380
800.0,,"Dexmedetomidina, Líquido parenteral, 100 mcg/mL (0,1 mg/mL), Caja x vial(es) x 2 mL",ocds-5wno2w-SIE-HIAL-0015-2022-8458
1440.0,,LAXANTES,ocds-5wno2w-SIE-HIAL-0004-2022-8458
1.0,,INSUMOS DE USO GENERAL,ocds-5wno2w-SIE-HPDA-46-2022-2728
20.0,,EQUIPOS MEDICOS,ocds-5wno2w-SIE-HUG-081-2022-592228
6000.0,,"Tacrolimo/Tacrolimus - Sólido oral (polvo)- 0,5 mg/mL",ocds-5wno2w-SIE-HQPN-076-2022-20291
1.0,,SERVICIOS DE INSTALACION DE PUERTAS EXTERIORES DE SEGURIDAD Y DE PUERTAS DE SEGURIDAD EN GENERAL,ocds-5wno2w-SIE-INFR-001-2022-134008
3.0,,REACTIVOS COMPUESTOS PARA DIAGNOSTICO O LABORATORIO N.C.P.: SOBRE SOPORTE DE PAPEL O CARTON.,ocds-5wno2w-SIE-INSPI-001-2022-432196
