quantity,item_value,description,ocid
1.0,,ACIDO ASCORBICO,ocds-5wno2w-SIE-IESS-HB-061-2021-102124
1.0,,"SERVICIOS DE MANTENIMIENTO, REPARACION Y ATENCION DEL EQUIPO DE  COMPUTACION  (INFORMATICA)",ocds-5wno2w-SIE-SRINAC-028-2021.-2438
50.0,0.336,MARCADOR PERMANENTE NEGRO PUNTA REDONDA,ocds-5wno2w-CE-20210002122098-278089
1.0,800.0,FISCALIZACION DE OBRAS DE INGENIERIA CIVIL,ocds-5wno2w-CDC-GADPN-04-2021-112325
500.0,0.2912,FOLDER COLGANTE VARIOS COLORES,ocds-5wno2w-CE-20210002122097-278089
20.0,0.27888,CLIPS STANDAR 25 MM METALICOS,ocds-5wno2w-CE-20210002121685-102511
500.0,0.3478,"Hidrocortisona, succinato sódico",ocds-5wno2w-CE-20210002121608-2804
4.0,333.76,ESCRITORIO RECTO MINKA III 1500MM X 600MM,ocds-5wno2w-CE-20210002122167-877354
50.0,1.5344,ARCHIVADOR DE CARTON NO. 15 CON TAPA,ocds-5wno2w-CE-20210002122193-926666
16400.0,0.0799,Amoxicilina + Ácido clavulánico,ocds-5wno2w-CE-20210002121592-17504
81.0,13.944,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002122050-741823
10.0,9.072,PROTECTOR DE HOJAS GRUESO A-4 X 100 UNIDADES,ocds-5wno2w-CE-20210002122096-278089
300.0,2.28,Sulfato de zinc,ocds-5wno2w-CE-20210002121593-17504
2.0,1.6576,MASKING DE 2 PULG. X 40 YARDAS MULTIUSO,ocds-5wno2w-CE-20210002121665-3481
6052.0,1.204,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS,ocds-5wno2w-CE-20210002121769-41357
4.0,2.6096,ESCOBA DE MADERA FIBRA DE COCO DE 40 CM,ocds-5wno2w-CE-20210002121666-3481
200.0,2.67,Insulina humana (acción rápida),ocds-5wno2w-CE-20210002122136-8531
250.0,0.29904,SENALADORES TIPO BANDERITAS,ocds-5wno2w-CE-20210002121867-3260
25.0,3.304,RESMA DE PAPEL BOND A4 DE 75 GR,ocds-5wno2w-CE-20210002121706-119597
5.0,5.936,AGENDAS EJECUTIVAS,ocds-5wno2w-CE-20210002122192-926666
600.0,0.9072,PARES DE PILAS AA (ALCALINA),ocds-5wno2w-CE-20210002121868-3260
50.0,0.19488,CINTA ADHESIVA TRANSPARENTE 18 X 25 YDAS,ocds-5wno2w-CE-20210002122173-926666
10.0,0.93296,TINTA CORRECTORA TIPO ESFERO,ocds-5wno2w-CE-20210002122174-926666
5.0,1.02704,GOMA EN BARRA DE 40 GR,ocds-5wno2w-CE-20210002121688-102511
2.0,0.056,SOBRE MANILA F3,ocds-5wno2w-CE-20210002121687-102511
2.0,3.91888,LIGAS 8 CM FUNDA DE 500 GR,ocds-5wno2w-CE-20210002122175-926666
150.0,1.344,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS,ocds-5wno2w-CE-20210002121596-840618
2.0,34.72,PERFORADORA SEMINDUSTRIAL 100 HOJAS,ocds-5wno2w-CE-20210002122176-926666
5.0,0.343728,PORTA CLIPS MAGNETICOS,ocds-5wno2w-CE-20210002121686-102511
900.0,0.02,Levotiroxina sódica,ocds-5wno2w-CE-20210002121591-17504
5.0,7.8176,FLASH MEMORY 16 GB,ocds-5wno2w-CE-20210002122191-926666
30.0,0.4144,MARCADOR TIZA LIQUIDA PUNTA  GRUESA VARIOS COLORES,ocds-5wno2w-CE-20210002122190-926666
30.0,0.784,SENALADORES TIPO BANDERITAS,ocds-5wno2w-CE-20210002122189-926666
4.0,86.24,SILLA CHUKUY ,ocds-5wno2w-CE-20210002122168-877354
10.0,0.672,GRAPAS 26/6 CAJA DE 5000 U,ocds-5wno2w-CE-20210002121694-102511
50.0,8.96,PROTECTOR DE HOJAS GRUESO A-4 X 100 UNIDADES,ocds-5wno2w-CE-20210002121597-840618
120.0,0.0448,PROTECTOR DE HOJA A4 PLASTI. TRANSPARE. DELGA (1 UNI),ocds-5wno2w-CE-20210002121873-3260
900.0,2.67,Insulina humana NPH (acción intermedia),ocds-5wno2w-CE-20210002121585-17504
6.0,25.9504,LENCERIA HOSPITALARIA,ocds-5wno2w-CE-20210002122046-741823
500.0,1.4,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS,ocds-5wno2w-CE-20210002121862-3260
75.0,0.3472,MARCADOR PERMANENTE NEGRO PUNTA REDONDA,ocds-5wno2w-CE-20210002121872-3260
6630.0,2.19,Imatinib,ocds-5wno2w-CE-20210002121837-2810
30.0,0.7504,CINTA DE EMPAQUE 48X80 YDAS COLOR TRANSPARENTE,ocds-5wno2w-CE-20210002121864-3260
40.0,0.3584,MARCADOR PERMANENTE ROJO PUNTA REDONDA,ocds-5wno2w-CE-20210002121865-3260
1000.0,19.8352,SERVICIO DE CONFECCION DE ROPA DE TRABAJO,ocds-5wno2w-CE-20210002122045-741823
500.0,2.95,RESMA DE PAPEL BOND A4 DE 75 GR,ocds-5wno2w-CE-20210002122182-926666
3048.0,0.088888,Clindamicina,ocds-5wno2w-CE-20210002121610-2804
20.0,0.616,CD S GRABABLES CON CAJA CD-R,ocds-5wno2w-CE-20210002121690-102511
20.0,0.3472,SACAGRAPAS,ocds-5wno2w-CE-20210002121863-3260
500.0,0.04704,SOBRE MANILA F4,ocds-5wno2w-CE-20210002121871-3260
6050.0,0.03,Levotiroxina sódica,ocds-5wno2w-CE-20210002122140-8531
50.0,0.6608,MASKING DE 1 PULG. X 40 YARDAS MULTIUSO,ocds-5wno2w-CE-20210002121866-3260
50.0,0.8288,TIJERA GRANDE DE 8 PULG.,ocds-5wno2w-CE-20210002121858-3260
10.0,1.96,SEPARADORES PLASTICOS A4 FUNDA NUMERICA 1-31,ocds-5wno2w-CE-20210002121895-39186
8000.0,0.01881,Dimenhidrinato,ocds-5wno2w-CE-20210002121609-2804
200.0,1.568,SEPARADORES PLASTICOS A4 FUNDA NUMERICA 1-31,ocds-5wno2w-CE-20210002121859-3260
50.0,0.24864,ETIQUETAS ADHESIVAS 8.5 CM X 1.5 CM T-22,ocds-5wno2w-CE-20210002121870-3260
100.0,0.04144,SOBRE MANILA F3,ocds-5wno2w-CE-20210002121602-840618
50.0,0.7616,CINTA DE EMPAQUE 48X80 YDAS COLOR CAFÉ,ocds-5wno2w-CE-20210002121860-3260
30.0,2.968,ARCHIVADOR TIPO ACORDEON PLASTICO TAMAÑO A-4*,ocds-5wno2w-CE-20210002121861-3260
11000.0,0.022,Carvedilol,ocds-5wno2w-CE-20210002122126-8531
50.0,3.75,Aciclovir,ocds-5wno2w-CE-20210002122125-8531
4800.0,0.088888,Clindamicina,ocds-5wno2w-CE-20210002122124-8531
300.0,5.33,Dexametasona + Tobramicina,ocds-5wno2w-CE-20210002121588-17504
5.0,0.19936,CINTA ADHESIVA TRANSPARENTE 18 X 25 YDAS,ocds-5wno2w-CE-20210002121894-39186
32400.0,1.2432,LIMPIEZA DE VENTANAS INTERIORES Y EXTERIORES HASTA TRES METROS,ocds-5wno2w-CE-20210002121884-529265
399.0,4.3,Lágrimas artificiales y otros preparados inertes,ocds-5wno2w-CE-20210002121885-154505
1400.0,0.08,Dexametasona,ocds-5wno2w-CE-20210002121886-154505
7200.0,0.0799,Amoxicilina + Ácido clavulánico,ocds-5wno2w-CE-20210002122141-8531
7800.0,0.022,Carvedilol,ocds-5wno2w-CE-20210002121889-154505
500.0,0.01881,Dimenhidrinato,ocds-5wno2w-CE-20210002121888-154505
95.0,2.22,Amoxicilina,ocds-5wno2w-CE-20210002121887-154505
3.0,87.36,SILLA CHUKUY ,ocds-5wno2w-CE-20210002121808-98235
26340.0,1.3552,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20210002121878-2457
30.0,5.35,Dexametasona + Tobramicina,ocds-5wno2w-CE-20210002121587-17504
800.0,2.53,Bupivacaína hiperbárica,ocds-5wno2w-CE-20210002122121-8531
1000.0,0.67,Ácido tranexámico,ocds-5wno2w-CE-20210002122123-8531
100.0,0.15456,CARPETA FOLDER DE CARTULINA KRAFT (VINCHA INCLUIDA),ocds-5wno2w-CE-20210002121689-102511
190.0,5.699,Risperidona,ocds-5wno2w-CE-20210002122117-8531
100.0,0.3472,MARCADOR TIZA LIQUIDA PUNTA  GRUESA VARIOS COLORES,ocds-5wno2w-CE-20210002121875-3260
200.0,0.9186,Amikacina,ocds-5wno2w-CE-20210002121586-17504
387160.0,0.16,"Multienzimas (pancreatina: amilasa, lipasa, proteasa)",ocds-5wno2w-CE-20210002121838-2810
900.0,9.99,Buprenorfina,ocds-5wno2w-CE-20210002121938-68807
60.0,0.19936,CARPETAS PLASTICAS FANTASIA,ocds-5wno2w-CE-20210002121874-3260
1428.0,109.97,Sunitinib,ocds-5wno2w-CE-20210002121839-2810
60.0,9.99,Buprenorfina,ocds-5wno2w-CE-20210002122118-8531
3.0,1.344,LAPIZ HB CON GOMA CAJA 12 UNIDADES,ocds-5wno2w-CE-20210002121882-599302
400.0,2.22,Amoxicilina,ocds-5wno2w-CE-20210002122119-8531
40.0,6.5818,Lidocaína,ocds-5wno2w-CE-20210002122120-8531
5000.0,0.01881,Dimenhidrinato,ocds-5wno2w-CE-20210002122122-8531
100.0,0.9072,PARES DE PILAS AAA (ALCALINA),ocds-5wno2w-CE-20210002121857-3260
34740.0,1.4448,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20210002122144-51561
10000.0,0.0094,Furosemida,ocds-5wno2w-CE-20210002122143-8531
8000.0,0.03671,Quetiapina,ocds-5wno2w-CE-20210002122142-8531
900.0,24.6288,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002122049-741823
2250.0,12.3872,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20210002122145-51561
220.0,1.7696,ESCOBA DE MADERA FIBRA DE COCO DE 30 CM,ocds-5wno2w-CE-20210002121705-39596
200.0,0.638176,CD S REGRABABLES SIN CAJA CD-RW,ocds-5wno2w-CE-20210002121598-840618
100.0,0.2576,ETIQUETAS ADHESIVAS 1.6 CM DE DIAMETRO T-30,ocds-5wno2w-CE-20210002121599-840618
5000.0,0.256256,CD S GRABABLES SIN CAJA CD-R,ocds-5wno2w-CE-20210002121601-840618
90.0,3.89424,SOBRE PARA CD PAQUETE X 100 UNIDADES,ocds-5wno2w-CE-20210002121595-840618
39.0,163.2736,ALECENAS PARA LOZA,ocds-5wno2w-CE-20210002121803-699688
650.0,0.3753,Clindamicina,ocds-5wno2w-CE-20210002121584-17504
600.0,0.248,Clotrimazol,ocds-5wno2w-CE-20210002121578-17504
200.0,0.022,Carvedilol,ocds-5wno2w-CE-20210002121579-17504
216.0,1.05,Salbutamol,ocds-5wno2w-CE-20210002121580-17504
50.0,1.3,Vancomicina,ocds-5wno2w-CE-20210002121583-17504
19200.0,1.4448,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20210002122166-427936
43200.0,1.70912,"SERVICIOS QUE CONSISTEN EN LA LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20210002122165-753800
30.0,2.52,SERVICIIO DE REFRIGERIO PARA ENVENTOS DE CAPACITACION,ocds-5wno2w-CE-20210002122154-442238
3.0,115.9424,ALECENAS PARA LOZA,ocds-5wno2w-CE-20210002122148-2863
9048.0,1.3552,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20210002122147-35516
20000.0,0.088888,Clindamicina,ocds-5wno2w-CE-20210002121942-68807
540.0,1.407,Permetrina,ocds-5wno2w-CE-20210002121582-17504
3000.0,0.28,Sales de rehidratación oral: •Glucosa •Cloruro de sodio •Cloruro de potasio •Citrato trisódico dihidrato,ocds-5wno2w-CE-20210002121581-17504
320.0,7.5,Haloperidol decanoato,ocds-5wno2w-CE-20210002122137-8531
298.0,5.33,Dexametasona + Tobramicina,ocds-5wno2w-CE-20210002122138-8531
1690.0,24.0912,SERVICIO DE CONFECCION DE ROPA DE TRABAJO,ocds-5wno2w-CE-20210002122048-741823
2705.0,3.92,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002122048-741823
10.0,1.12,PARES DE PILAS AA (ALCALINA),ocds-5wno2w-CE-20210002121683-102511
100.0,2.24,PARES DE PILAS C (ALCALINA),ocds-5wno2w-CE-20210002121869-3260
10.0,1.6464,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS,ocds-5wno2w-CE-20210002121897-39186
10.0,0.42448,NOTAS ADHESIVAS GRANDES 3X3 PULG.,ocds-5wno2w-CE-20210002121896-39186
10000.0,0.02,Levotiroxina sódica,ocds-5wno2w-CE-20210002122139-8531
212.0,20.16,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002122047-741823
500.0,1.1648,SEPARADORES PLASTICOS A4 FUNDA  ABECEDARIO,ocds-5wno2w-CE-20210002121856-3260
20.0,0.5824,SEPARADORES PLASTICOS A4 FUNDA 10 U,ocds-5wno2w-CE-20210002121693-102511
150.0,1.512,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS,ocds-5wno2w-CE-20210002121695-102511
5.0,2.4528,PAÑO DE LIMPIEZA PARA SUPERFICIES 10 UNIDADES,ocds-5wno2w-CE-20210002121698-102511
200.0,222.88,POSTE CIRCULAR DE HORMIGON ARMADO DE 12 M X 500 KG.,ocds-5wno2w-CE-20210002121649-462114
10.0,0.93296,TINTA CORRECTORA TIPO ESFERO,ocds-5wno2w-CE-20210002121680-102511
6.0,421.288,MUEBLES DE ESCUELA,ocds-5wno2w-CE-20210002121804-699688
2.0,286.7648,MUEBLES DE ESCUELA,ocds-5wno2w-CE-20210002121804-699688
1.0,151.1888,ALECENAS PARA LOZA,ocds-5wno2w-CE-20210002121804-699688
22500.0,1.2432,LIMPIEZA DE VENTANAS INTERIORES Y EXTERIORES HASTA TRES METROS,ocds-5wno2w-CE-20210002121809-543355
5.0,3.2256,ARCHIVADOR TIPO ACORDEON PLASTICO TAMAÑO A-4*,ocds-5wno2w-CE-20210002121681-102511
15000.0,1.2432,LIMPIEZA DE VENTANAS INTERIORES Y EXTERIORES HASTA TRES METROS,ocds-5wno2w-CE-20210002121810-543355
22500.0,1.2432,LIMPIEZA DE VENTANAS INTERIORES Y EXTERIORES HASTA TRES METROS,ocds-5wno2w-CE-20210002121811-543355
26250.0,1.2432,LIMPIEZA DE VENTANAS INTERIORES Y EXTERIORES HASTA TRES METROS,ocds-5wno2w-CE-20210002121812-543355
9000.0,1.2432,LIMPIEZA DE VENTANAS INTERIORES Y EXTERIORES HASTA TRES METROS,ocds-5wno2w-CE-20210002121813-543355
34908.0,1.3552,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20210002121814-44359
700.0,0.16999,Espironolactona,ocds-5wno2w-CE-20210002121819-130055
3000.0,0.45,Paracetamol,ocds-5wno2w-CE-20210002121820-130055
5.0,6.0536,MOUSE PAD CON APOYA MUNECAS DE GEL,ocds-5wno2w-CE-20210002121682-102511
420.0,3.304,RESMA DE PAPEL BOND A4 DE 75 GR,ocds-5wno2w-CE-20210002121929-467908
50.0,1.11,PAPEL TOALLA DE MANOS BLANCO EN Z 150 UNIDADES,ocds-5wno2w-CE-20210002121697-102511
26.0,19.1184,SERVICIO DE CONFECCION DE ROPA DE TRABAJO,ocds-5wno2w-CE-20210002122051-741823
134448.0,1.4448,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20210002121673-41357
25.0,0.15904,BORRADOR (GRANDE) PARA LAPIZ,ocds-5wno2w-CE-20210002122180-926666
1969.0,32.2448,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002122054-741823
1500.0,0.0672,SOBRE MANILA F6,ocds-5wno2w-CE-20210002121840-3260
50.0,0.08736,BORRADOR (PEQUENO) PARA LAPIZ,ocds-5wno2w-CE-20210002121841-3260
50.0,0.15456,CARPETA FOLDER DE CARTULINA KRAFT (VINCHA INCLUIDA),ocds-5wno2w-CE-20210002121968-448354
1500.0,0.03671,Quetiapina,ocds-5wno2w-CE-20210002121957-68807
2214.0,12.6224,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20210002121802-339612
18000.0,0.03671,Quetiapina,ocds-5wno2w-CE-20210002121801-161795
50000.0,0.0799,Amoxicilina + Ácido clavulánico,ocds-5wno2w-CE-20210002121800-161795
10000.0,0.03,Levotiroxina sódica,ocds-5wno2w-CE-20210002121799-161795
1000.0,2.67,Insulina humana NPH (acción intermedia),ocds-5wno2w-CE-20210002121798-161795
100.0,7.5,Haloperidol decanoato,ocds-5wno2w-CE-20210002121797-161795
30.0,2.67,Insulina humana (acción rápida),ocds-5wno2w-CE-20210002121589-17504
12000.0,0.28,Sales de rehidratación oral: •Glucosa •Cloruro de sodio •Cloruro de potasio •Citrato trisódico dihidrato,ocds-5wno2w-CE-20210002121796-161795
34.0,2.6096,TRAPEADOR REDONDO DE 24-30 CM,ocds-5wno2w-CE-20210002121899-2479
35.0,6.5818,Lidocaína,ocds-5wno2w-CE-20210002121794-161795
3000.0,2.22,Amoxicilina,ocds-5wno2w-CE-20210002121793-161795
1300.0,0.03,Levotiroxina sódica,ocds-5wno2w-CE-20210002121590-17504
60.0,5.6,SERVICIIO DE REFRIGERIO PARA ENVENTOS DE CAPACITACION,ocds-5wno2w-CE-20210002121958-38391
25.0,0.1344,SACAPUNTAS PEQUENO METALICO 1 SERVICIO,ocds-5wno2w-CE-20210002122179-926666
20.0,0.326032,TINTA PARA ALMOHADILLA Y SELLO AZUL / NEGRA / VIOLETA / ROJA,ocds-5wno2w-CE-20210002122178-926666
25.0,1.7024,LAPIZ HB SIN GOMA CAJA DE 12 UNIDADES,ocds-5wno2w-CE-20210002122177-926666
300.0,1.05,Salbutamol,ocds-5wno2w-CE-20210002121795-161795
80.0,2.2,Trinitrato de glicerilo (Nitroglicerina),ocds-5wno2w-CE-20210002121934-68807
200.0,5.9399,Enalapril,ocds-5wno2w-CE-20210002122134-8531
50.0,0.3808,MARCADOR PERMANENTE ROJO PUNTA REDONDA,ocds-5wno2w-CE-20210002122094-278089
10.0,3.4272,"NOTAS ADHESIVAS CUBO DE 5 COLORES 3X3""",ocds-5wno2w-CE-20210002121679-102511
8000.0,0.295,Butilescopolamina (N-butilbromuro de hioscina),ocds-5wno2w-CE-20210002121935-68807
360.0,0.405566,Bupivacaína (sin epinefrina),ocds-5wno2w-CE-20210002121936-68807
240.0,3.5,Fórmulas para nutrición enteral,ocds-5wno2w-CE-20210002122108-8531
300.0,0.78,Morfina,ocds-5wno2w-CE-20210002122107-8531
5.0,4.48,PERFORADORA DE ESCRITORIO GRANDE,ocds-5wno2w-CE-20210002122184-926666
55.0,0.336,MARCADOR TIZA LIQUIDA PUNTA  GRUESA VARIOS COLORES,ocds-5wno2w-CE-20210002121603-840618
1000.0,24.6288,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002122053-741823
2400.0,0.3753,Clindamicina,ocds-5wno2w-CE-20210002122133-8531
50.0,2.465,PAPEL HIGIENICO JUMBO HOJA SIMPLE BLANCO 400 METROS,ocds-5wno2w-CE-20210002121640-102511
4800.0,0.248,Clotrimazol,ocds-5wno2w-CE-20210002121943-68807
1200.0,0.022,Carvedilol,ocds-5wno2w-CE-20210002121944-68807
8000.0,0.28,Sales de rehidratación oral: •Glucosa •Cloruro de sodio •Cloruro de potasio •Citrato trisódico dihidrato,ocds-5wno2w-CE-20210002121945-68807
300.0,0.36,Amikacina,ocds-5wno2w-CE-20210002122132-8531
731.0,18.0208,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002122055-741823
800.0,0.0094,Furosemida,ocds-5wno2w-CE-20210002121956-68807
1600.0,6.4,Enoxaparina,ocds-5wno2w-CE-20210002121946-68807
55.0,0.308,MARCADOR PERMANENTE AZUL PUNTA REDONDA,ocds-5wno2w-CE-20210002121604-840618
700.0,13.944,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002122052-741823
30.0,0.3696,MARCADOR PERMANENTE AZUL PUNTA REDONDA,ocds-5wno2w-CE-20210002122181-926666
30.0,0.4144,MARCADOR PERMANENTE VERDE PUNTA GRUESA,ocds-5wno2w-CE-20210002122183-926666
3000.0,0.1589,Oxitocina,ocds-5wno2w-CE-20210002121933-68807
156180.0,1.4448,"SERVICIOS DE LIMPIEZA Y MANTENIMIENTO DE VIVIENDAS O DE EDIFICIOS COMERCIALES, ADMINISTRATIVOS E INDUSTRIALE, LIMPIEZA Y ENCERADO DE PISOS",ocds-5wno2w-CE-20210002121667-41357
100.0,3.95,Digoxina,ocds-5wno2w-CE-20210002122113-8531
12000.0,0.05,Ferroso sulfato,ocds-5wno2w-CE-20210002122114-8531
4.0,1.1424,CEPILLO PARA SANITARIO CON BASE PLASTICA,ocds-5wno2w-CE-20210002121630-62358
200.0,5.33,Dexametasona + Tobramicina,ocds-5wno2w-CE-20210002121949-68807
20.0,1.008,GUANTES DE CAUCHO NO 8 BICOLOR,ocds-5wno2w-CE-20210002121629-62358
20.0,2.464,PAPEL HIGIENICO JUMBO DOBLE HOJA BLANCO 250 METROS,ocds-5wno2w-CE-20210002121628-62358
5.0,2.4752,ANTISARRO GALON,ocds-5wno2w-CE-20210002121654-3833
200.0,2.7384,PAPEL HIGIENICO JUMBO HOJA SIMPLE BLANCO 400 METROS,ocds-5wno2w-CE-20210002121656-3833
160.0,2.67,Insulina humana (acción rápida),ocds-5wno2w-CE-20210002121950-68807
77.0,5.33,Dexametasona + Tobramicina,ocds-5wno2w-CE-20210002121892-154505
1000.0,0.17,Haloperidol,ocds-5wno2w-CE-20210002122112-8531
4.0,2.6096,ESCOBA DE MADERA FIBRA DE COCO DE 40 CM,ocds-5wno2w-CE-20210002121621-62358
4.0,13.132,DISPENSADOR DE TOALLAS DE MANO EN Z,ocds-5wno2w-CE-20210002121620-62358
2.0,4.48,DESINFECTANTE AMONIO CUATERNARIO GALON,ocds-5wno2w-CE-20210002121619-62358
10.0,0.3808,RESALTADORES VARIOS COLORES,ocds-5wno2w-CE-20210002121967-448354
10.0,0.65856,GRAPAS 26/6 CAJA DE 5000 U,ocds-5wno2w-CE-20210002121966-448354
2000.0,2.67,Insulina humana NPH (acción intermedia),ocds-5wno2w-CE-20210002121951-68807
2400.0,0.03,Levotiroxina sódica,ocds-5wno2w-CE-20210002121953-68807
160.0,5.0,Salbutamol,ocds-5wno2w-CE-20210002122115-8531
40.0,0.5376,SEPARADORES PLASTICOS A4 FUNDA 10 U,ocds-5wno2w-CE-20210002121965-448354
5.0,0.93296,TINTA CORRECTORA TIPO ESFERO,ocds-5wno2w-CE-20210002121964-448354
127.0,7.5,Haloperidol decanoato,ocds-5wno2w-CE-20210002121952-68807
100.0,0.050736,SOBRE MANILA F5,ocds-5wno2w-CE-20210002121605-840618
10.0,1.2432,RECOGEDOR DE BASURA,ocds-5wno2w-CE-20210002121622-62358
100.0,1.5344,ARCHIVADOR DE CARTON NO. 15 CON TAPA,ocds-5wno2w-CE-20210002121606-840618
810.0,0.28,Sales de rehidratación oral: •Glucosa •Cloruro de sodio •Cloruro de potasio •Citrato trisódico dihidrato,ocds-5wno2w-CE-20210002121891-154505
792.0,12.3872,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20210002121668-99635
80.0,8.008,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002121669-28990
80.0,1.12,SERVICIOS DE CONFECCION DE PRENDAS DE VESTIR,ocds-5wno2w-CE-20210002121670-28990
73500.0,0.4592,ADOQUINES EXAGONALES DE CONCRETO  350 KG/CM2 DE RESISITENCIA,ocds-5wno2w-CE-20210002121671-2742
720.0,13.8208,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20210002121672-99635
390.0,13.8208,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20210002121674-10836
5346.0,2.83808,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20210002121674-10836
1288.0,12.3872,SERVICIOS DE ALMUERZOS Y REFRIGERIOS PARA INSTITUCIONES,ocds-5wno2w-CE-20210002121676-574800
